,pertanyaan,jawaban,penilai 1,penilai 2
10,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"aspek Orisinalitas : merupakan penelitian permasalahan yang mungkin sudah pernah dikerjakan tapi dapat diteliti kembali dengan metode yang berbeda

Kontribusi :  Menerapkan Metode ABC yang sebelumnya tidak pernah digunakan orang untuk memecahkan masalah konvergensi

Novelty : adalah unsur kebaruan atau temuan dari sebuah penelitian. Penelitian dikatakan baik jika menemukan unsur temuan baru, sehingga memiliki kontribusi baik kepada keilmuan maupun kehidupan",6,6
11,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"1. ORIGINALITY (ORISINALITAS) 

ORIGINALITY (ORISINALITAS) berarti Memecahkan suatu masalah yang orang lain belum pernah mengerjakan sebelumnya

2. CONTRIBUTION (KONTRIBUSI) 

CONTRIBUTION (KONTRIBUSI) Menerapkan Metode ABC yang sebelumnya tidak pernah digunakan orang untuk memecahkan masalah konvergensi

3. NOVELTY (KETERBARUAN)

adalah unsur kebaruan atau temuan dari sebuah penelitian. Penelitian dikatakan baik jika menemukan unsur temuan baru",4,5
12,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"orisinalitas 

	* penulis memecahkan masalah yang  orang lain belum  pernah pecahkan
	* penulis memecahkan masalah yang sama dengan metode yang berbeda 
	* kontribusi pada penemuan masalah baru dapat digunakan sebagai objek penerapan metode

kontribusi

	* merupakan cara peneliti untuk mkengembangkan metode, penyempurnaan model, algoritma dan metode.

novelty

	* suatu unsur temuan atau kebaruan dari suatu penelitian",6,7
13,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"3 aspek utama dalam suatu penelitian diantaranya:

1. Originality (Orisinalitas)

Dalam penelitian harus memuat orisinalitas dari penulis laporan dan tidak boleh adanya plagiarisme. contoh orisinalitas yaitu penggunaan metode yang berbeda dalam suatu masalah.

2. Contribution (Kontribusi)

Suatu penelitian haruslah juga memiliki kontribusi terhadap suatu masalah yang diselesaikan sehingga hasil dari penelitian dapat membawa dampak atau manfaat terhadap sesuatu. Contohnya laporan penelitian memprediksi tingkat kenaikan kasus covid-19 dengan cara A lebih cepat. Penilitian seperti ini berkontribusi dalam penanganan dan pencegahan covid-19 nanti.

3. Novelty (Keterbaruan)

Dalam penelitian yang dilakukan harus memuat sesuatu hal yang baru, jangan melakukan penelitian yang sudah dilakukan sebelumnya oleh orang lain. Oleh karena itu dalam melakukan penelitian alangkah baiknya kita memperhatikan topik atau metode yang akan kita bawa agar tidak sama dengan penelitian sebelumnya sehingga menghasilkan sesuatu yang baru.",5,6
14,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"Orisinalitas, yaitu bahwa penelitian ini belum dikerjakan orang lain atau ada masalah abru yang harus dikaji. selain itu orisinalitas juga bisa saja mengerjakan masalah yang sudah dikerjakan orang lain naum dengan metode yang berbeda. Penelitian juga tidak diperbolehkan untuk dilakukannya plagiarisme padanya.

Kontribusi

Menerapkan metode ABC yang sebelumnyabelum pernah digunakan orang lain untuk memecahkan masalah konvergensi

Keterbaruan
PEnelitian dikatakan baru apabila menemukan unsur temuan baru sehingga memiliki pengaruh baik atau kontribusi pada bidang keilmuan maupun pendidikan.",4,5
15,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"1. Originality
Orisinalitas dalam metode. Dapat memecahkan masalah yang orang lain pernah pecahkan namun menggunakan metode lain.

Orisinalitas dalam masalah. Dapat memecahkan masalah yang belum pernah dipecahkan oleh orang lain.

2. Contribution

Kontribusi dalam metode. Menggunakan metode ABC yang sebelumnya belum pernah digunakan oleh orang lain.

Kontribusi dalam masalah. Menyelesaikan masalah secara terperinci menggunakan deret data metode XYZ.

3. Novelty

Merupkan unsur kebaruan atau temuan dari sebuah penelitian. Penelitian dikatakan baik jika menemukan unsur temuan baru",7,7
16,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"ORISINALITAS

Memecahkan masalah yang orang lain yang sebelumnya belum pernah dikerjakan yang artinya pemecahan masalah dengan cara baru, bukan meniru pemecahan masalah yang lain.

KONTRIBUSI

Menerapkan Metode ABC yang sebelumnya tidak pernah digunakan orang untuk memecahkan masalah konvergensi. perbaikan metode/algoritma/model (_method improvement_) yang kita lakukan.

NOVELTY

pembaruan yang lebih up-to-date atau pembaruan atau temuan dari sebuah penelitian.",6,6
17,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"ORIGINALITY (ORISINALITAS) 

ORIGINALITY (ORISINALITAS) berarti Memecahkan suatu masalah yang orang lain belum pernah mengerjakan sebelumnya

CONTRIBUTION (KONTRIBUSI) 

CONTRIBUTION (KONTRIBUSI)  Menerapkan Metode ABC yang sebelumnya tidak pernah digunakan orang untuk memecahkan masalah konvergensi

NOVELTY (KETERBARUAN)

adalah unsur kebaruan atau temuan dari sebuah penelitian. Penelitian dikatakan baik jika menemukan unsur temuan baru",4,5
18,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"3 ASPEK UTAMA DALAM RISET: 

ORIGINALITY (ORISINALITAS) 

berarti Memecahkan suatu masalah yang orang lain belum pernah mengerjakan sebelumnya

	* ORISINALITAS PADA METODE: Memecahkan masalah yang orang lain sudah pernah mengerjakan sebelumnya, tapi dengan metode yang berbeda  
	* ORISINALITAS PADA MASALAH: Memecahkan suatu masalah yang orang lain belum pernah mengerjakan sebelumnya. Model penelitian yang kontribusi ada pada penemuan masalah baru sebagai obyek penerapan metode

CONTRIBUTION (KONTRIBUSI) 

Menerapkan Metode ABC yang sebelumnya tidak pernah digunakan orang untuk memecahkan masalah konvergensi

	* KONTRIBUSI PADA METODE Penerapan Metode ABC dalam Pemecahan Masalah Konvergensi pada Metode Latent Dirichlet Allocation untuk Menentukan Harga Kebutuhan Pokok di Indonesia berdasarkan Sinyal Sosial Media. Kontribusi: Menerapkan Metode ABC yang sebelumnya tidak pernah digunakan orang untuk memecahkan masalah konvergensi

	* KONTRIBUSI PADA MASALAH: Kontribusi: Memprediksi tingkat kemacetan (kebanyakan peneliti menggunakan data time series. Di sisi lain social media banyak digunakan oleh masyarakat saat ini sehingga memberikan peluang ketersediaan data)

NOVELTY (KETERBARUAN)

Unsur kebaruan atau temuan dari sebuah penelitian. Penelitian dikatakan baik jika menemukan unsur temuan baru sehingga memiliki kontribusi baik bagi keilmuan maupun bagi kehidupan. ",8,7
19,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"* Aspek Subtansial merupakan sebuah aspek yang menyangkut ISI karya ilmiah atau literature yakni informasi keilmuan yang terkandung di dalamnya.
	* Aspek Metodologis merupakan suatu aspek yang menyangkut tata cara atau PROSEDUR PENYUSUNAN literature baik metode penelitian maupun metode penulisan.
	* Aspek Kebahasaan merupakan merupakan suatu aspek yang meliputi tata bahasa struktur, diksi, dan ejaan (PENGGUNAAN BAHASA).",0,0
20,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"3 aspek utama yang harus dimiliki dalam sebuah penelitian yaitu originality, contribution, dan novelty. Originality yaitu sebuah penelitiah harus orisinil atau asli tidak ada pemalsuan dalam penelitian atau keterbaruan dari penelitian juga. Contribution yaitu sebuah penelitian harus ada kontribusi yang orisinil pada pengetahuan dalam bentuk menemukan dan merevisi fakta, teori dan aplikasi. Novelty yaitu sebuah penelitian harus ada unsur keterbaruan dalam penelitian tersebut, sehingga tidak ada penelitian yang diulang dua kali atau dapat dikatakan penelitian harus belum ada orang yang pernah membuat sebelumnya. originality dan contribution dapat dilakukan pada bagian metode maupun masalah.",5,5
21,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"1. Originality, yang artinya sebuah penelitian harus memiliki orisinalitas pada metode yang digunakan untuk memecahkan masalah atau orisinalitas pada masalah yang diangkat pada penelitian tersebut

2. contribution, yang artinya suatu penelitian harus memiliki kontribusi misalnya kontribusi terhadap metode yang digunakan untuk memecahkan masalah dan jika penelitian diranah ilmiah maka penelitian tersebut harus berkontribusi terhadapa ilmu pengetahuan

3. Novelty, suatu penelitian harus memiliki sesuatu yang baru pada dirinya apakah penelitian tersebut menghasilkan pemecahkan masalah yang baru atau metode yang baru",6,6
22,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"3 Aspek utama yang harus dimiliki dalam sebuah penelitian :

1. ORIGINALITY (ORISINALITAS) 

ORIGINALITY (ORISINALITAS) berarti Memecahkan suatu masalah yang orang lain belum pernah mengerjakan sebelumnya dan orisinalitas itu penilaian dengan cara yang asli yang benar-benar tidak ada kecurangan sama sekali dalam hasil penilaiannya

2. CONTRIBUTION (KONTRIBUSI) 

CONTRIBUTION (KONTRIBUSI)  Menerapkan Metode ABC yang sebelumnya tidak pernah digunakan orang untuk memecahkan masalah konvergensi

3. NOVELTY (KETERBARUAN)

adalah unsur kebaruan atau temuan dari sebuah penelitian. Penelitian dikatakan baik jika menemukan unsur temuan baru. salah satu aspek utama yang harus diperhatikan oleh peneliti ketika hendak memulai sebuah penelitian. Penjelasan: Novelty adalah unsuR KEBARUAN dari sebuah penelitian",6,6
23,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"ORISIONALITAS

ORISINALITAS PADA METODE

Memecahkan masalah yang orang lain sudah pernah mengerjakan sebelumnya, tapi dengan metode yang berbeda

ORISINALITAS PADA MASALAH

Memecahkan suatu masalah yang orang lain belum pernah mengerjakan sebelumnya

Model penelitian yang kontribusi ada pada penemuan masalah baru sebagai obyek penerapan metode

 

KONTRIBUSI

KONTRIBUSI PADA METODE

Penerapan Metode ABC dalam Pemecahan Masalah Konvergensi pada Metode Latent Dirichlet Allocation untuk Menentukan Harga Kebutuhan Pokok di Indonesia berdasarkan Sinyal Sosial Media Kontribusi: Menerapkan Metode ABC yang sebelumnya tidak pernah digunakan orang untuk memecahkan masalah konvergens

KONTRIBUSI PADA MASALAH

Kontribusi: Memprediksi tingkat kemacetan (kebanyakan peneliti menggunakan data time series. Di sisi lain social media banyak digunakan oleh masyarakat saat ini sehingga memberikan peluang ketersediaan data)

 

NOVELTY 

adalah unsur kebaruan atau temuan dari sebuah penelitian. Penelitian dikatakan baik jika menemukan unsur temuan baru sehingga memiliki kontribusi baik bagi keilmuan maupun bagi kehidupan.

Terkadang sebuah penelitian hanya merupakan pengulangan dari penelitian sebelumnya. Penelitian  semacam ini kurang menarik dan dangkal. Penelitian tersebut kurang memberikan metode pemecahan masalah yang baru. Akhirnya penelitian tersebut sulit diterapkan dan menjadi penghias perpustakaan. Pada hal seharusnya hasil penelitian ini harus memberikan solusi yang tepat terhadap permasalahan yang di hadapi.",8,8
24,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"1. Orisinalitas 

 -Memecahkan masalah yang orang lain sudah pernah mengerjakan

sebelumnya, tapi dengan metode yang berbeda.

- Memecahkan suatu masalah yang orang lain belum pernah mengerjakan

sebelumnya

- Model penelitian yang kontribusi ada pada penemuan masalah baru

sebagai obyek penerapan metode

2. Kontribusi 

-Penerapan Metode ABC dalam Pemecahan Masalah Konvergensi pada

Metode Latent Dirichlet Allocation untuk Menentukan Harga Kebutuhan

Pokok di Indonesia berdasarkan Sinyal Sosial Media

-Kontribusi:Menerapkan Metode ABC yang sebelumnya tidak pernah

digunakan orang untuk memecahkan masalah konvergensi

3. Novelty

Novelty adalah unsur kebaruan atau temuan dari sebuah penelitian. Penelitian dikatakan baik jika menemukan unsur temuan baru sehingga memiliki kontribusi baik bagi keilmuan maupun bagi kehidupan.

Hubungan ketiganya :

Penelitian harus memiliki orisinalitas (originality) dan kebaruan (novelty), serta menghasilkan kontribusi yang orisinil pada pengetahuan dalam bentuk menemukan dan merevisi fakta, teori dan aplikasi.",6,7
25,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"Penelitian/riset harus memiliki orisinalitas (ORIGINALITY) dan kebaruan (NOVELTY), serta menghasilkan kontribusi (CONTRIBUTION) yang orisinil pada pengetahuan dalam bentuk menemukan dan merevisi fakta, teori dan aplikasi.

- ORIGINALITY (ORISINALITAS) : 

memecahkan suatu masalah yang orang lain belum pernah mengerjakan sebelumnya.

- CONTRIBUTION(KONTRIBUSI) :

menerapkan Metode ABC yang sebelumnya tidak pernah digunakan orang untuk memecahkan masalah konvergensi.

- NOVELTY (KETERBARUAN)
merupakan unsur kebaruan dari sebuah penelitian. penelitian dikatakan baik jika menemukan unsur temuan yang baru(new).",6,5
26,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"Tiga aspek utama dalam sebuah riset/penelitian antara lain:

1.  ORIGINALITY(ORISINALITAS/KEASLIAN)

Suatu riset ilmiah haruslah bersifat original/asli dilakukan dan bukan rekayasa oleh penulis. Harus terdapat fakta-fakta ilmiah yang mendukung riset tersebut, serta dilengkapi dengan daftar pustaka apabila mensitasi dari sumber lain dalam penyusunan risetnya

2. CONTRIBUTION (KONTRIBUSI)

Suatu riset ilmiah harus memberikan kontribusi dan bukan mengulang penelitian yang sama tanpa adanya kontribusi lanjutan. Kontribusi dapat dilihat dari masalah serta metode yang diberikan pada saat riset disusun.

3. NOVELTY (KETERBARUAN)

Seperti halnya aspek kontribusi, riset yang dilakukan tidak boleh hanya untuk mengulang suatu penelitian yang sama dan serupa dengan riset lain. Akan tetapi, harus membawa keterbaruan baik secara metode, masalah, maupun solusi yang diberikan sehingga membawa sebuah keterbaruan dalam penelitian sebuah masalah",6,6
27,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"1. Aspek Originality

Merupakan memecahkan masalah yang orang lain yang sebelumnya belum pernah dikerjakan yang artinya pemecahan masalah dengan cara baru

2.Aspek Kontribusi

Menerapkan Metode ABC yang sebelumnya tidak pernah digunakan orang untuk memecahkan masalah konvergensi

3. Aspek novelty",3,3
28,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"1. Originality (orisinalitas) : dibagi menjadi 2 yakni orisinalitas pada metode dan orisinalitas pada masalah, orisinalitas pada metode artinya memcahkan masalah yang orang lain sudah pernah mengerjakan sebelumnya tetapi dengan metode yang berbeda sedangkan orisinalitas pada masalah yaitu memecahkan suatu masalah yang orang lain belum pernah mengerjakan sebelumnya.

2. Contribution (kontribusi) : yaitu menerapkan metode ABC yang sebelumnya tidak pernah digunakan orang untuk memecahkan masalah konvergensi. 

3. Novelty (keterbaruan) : adalah unsur kebaruan atau temuan dari sebuah penelitian. Penelitian dikatakan baik jika menemukan unsur temuan baru sehingga penelitian tersebut memiliki kontribusi baik bagi keilmuan maupun kehidupan.",6,7
29,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"ORIGINALITY (ORISINALITAS) 

ORIGINALITY (ORISINALITAS) berarti Memecahkan suatu masalah pada sebuah penelitian yang orang lain belum pernah mengerjakan sebelumnya yang mempunyai keaslian karya yang dihasilkan dan bersifat baru dan mempunyai keunikan tersendiri yang belum ada.

CONTRIBUTION (KONTRIBUSI) 

CONTRIBUTION (KONTRIBUSI)  adalah Menerapkan suatu metode yang sebelumnya tidak pernah digunakan orang untuk memecahkan masalah konvergensi yang akhirnya  memiliki kontribusi pada bidang penelitian

NOVELTY (KETERBARUAN)

adalah unsur kebaruan atau temuan dari sebuah penelitian. Penelitian dikatakan baik jika menemukan unsur temuan baru",6,6
