,pertanyaan,jawaban,penilai 1,penilai 2
33,Jelaskan perbedaan antara iterative searching dan non iterative searching,"Itterative:

Biasa digunakan untuk percarian masalah yang bukan berupa path

Non Itterative:

Bisanya pencarian masalah yang berupa path",90,90
34,Jelaskan perbedaan antara iterative searching dan non iterative searching,"Iterative search digunakan untuk melakukan pencarian masalah yang bukan berbentuk seperti alur atau path. Contoh : Hill-Climbing Search dan Simulated Annealing

Sedangkan, non iterative searching merupakan pencarian masalah yang menggunakan path",90,90
35,Jelaskan perbedaan antara iterative searching dan non iterative searching,"Iterative Searching : Pencarian masalah yang bukan berupa path

Non-Iterative Searching : Pencarian masalah yang merupakan path",90,90
36,Jelaskan perbedaan antara iterative searching dan non iterative searching,Iterative Searching biasa digunakan  untuk pencarian masalah yang bukan merupakan path,70,80
37,Jelaskan perbedaan antara iterative searching dan non iterative searching,iterative search biasa digunakan untuk pencarian masalah yang bukan berupa path sedangkan non iterative search biasa digunakan untuk pencarian masalah berupa path ,90,90
38,Jelaskan perbedaan antara iterative searching dan non iterative searching,"*  Iteratif menggunakan FOR, WHILE, DO-WHILE sedangkan rekursif hanya menggunakan IF
        *  Iteratif dapat berjalan pada program yang terdiri dari prosedur (Tidak terdapat fungsi) sedangkan rekursif merupakan fungsi.",80,70
39,Jelaskan perbedaan antara iterative searching dan non iterative searching,"Iterative depat digunakan untuk pencarian masalah yang bukan berupa path, sedangkan non iterative bisa",80,80
40,Jelaskan perbedaan antara iterative searching dan non iterative searching,"Iterative search adalah strategi pencarian spasi / grafik keadaan di mana versi pencarian kedalaman-first depth-limited dijalankan berulang kali dengan meningkatkan batas kedalaman hingga tujuannya ditemukan, sedangkan non iteratif searching adalah strategi pencarian spasi/grafik keadaan di mana versi pencarian kedalaman-first depth-limited dijalankan tidak berulang kali dengan meningkatkan batas kedalaman hingga tujuannya ditemukan",80,50
41,Jelaskan perbedaan antara iterative searching dan non iterative searching,"Iterative Searching merupakan sebuah strategi umum yang biasanya dikombinasikan dengan depth first tree search, yang akan menemukan berapa depth limit terbaik untuk digunakan. Hal ini dilakukan dengan secara menambah limit secara bertahap.
Iteratif searching secara giliran.",65,50
42,Jelaskan perbedaan antara iterative searching dan non iterative searching,"perbedaan iterative seaching dengan non iteratif searching adalah iterative search digunakan untuk pencarian masalah yang bukan berupa path, sedangkan non iterative search digunakan untuk masalah yg berupa path",90,90
43,Jelaskan perbedaan antara iterative searching dan non iterative searching," Iterative Searching :
- Iteratif menggunakan FOR, WHILE, DO-WHILE

- Iteratif dapat berjalan pada program yang terdiri dari prosedur (Tidak terdapat fungsi)

Non Iteratif searching: 

-Hanya menggunakan IF.

-merupakan fungsi.",80,60
44,Jelaskan perbedaan antara iterative searching dan non iterative searching,"Iterative searching : mencari algoritma satu persatu dari semuanya

non : mencari point terkecil tanpa mengecek semua",60,50
45,Jelaskan perbedaan antara iterative searching dan non iterative searching,kalau iterative searching biasanya untuk menemukan amsaslah yang bukan path,70,80
46,Jelaskan perbedaan antara iterative searching dan non iterative searching,"Iterative Searching biasa digunakan untuk pencarian masalah yang bukan berupa path

Sedangkan non iterative bisa diunkan unutk algoritma ",70,85
47,Jelaskan perbedaan antara iterative searching dan non iterative searching,iterative  biasa digunakan untuk hillclimb searching ,60,60
48,Jelaskan perbedaan antara iterative searching dan non iterative searching,perbedaan antara iterative searching dan non iteratif yaitu iteratif searching biasanya untuk mengatasi hal-hal yang path beberbeda dengan non iteratif yan,65,80
49,Jelaskan perbedaan antara iterative searching dan non iterative searching,"a.    Iteratif menggunakan FOR, WHILE, DO-WHILE sedangkan rekursif hanya menggunakan IF.
b.    Iteratif dapat berjalan pada program yang terdiri dari prosedur (Tidak terdapat fungsi) sedangkan
       rekursif merupakan fungsi.",80,70
50,Jelaskan perbedaan antara iterative searching dan non iterative searching,"Iterative Searching adalah sebuah strategi umum yang biasanya dikombinasikan dengan depth first tree SEARCH, yang akan menemukan berapa depth limit terbaik untuk digunakan. Sedangkan Non Iteratif searching merupakan",60,50
51,Jelaskan perbedaan antara iterative searching dan non iterative searching,"Iterative search : digunakan untuk mencari masalah yang bukan berupa path

Non-iterative searching: digunakan untuk mencari masalah yang berupa path",70,90
52,Jelaskan perbedaan antara iterative searching dan non iterative searching,"1. Iteratif lebih efisien daripada algoritma non iteratif. 

2. iteratif memiliki kompleksitas ruang sebesar O(1), sedangkan non iteratif dapat mencapai sebesar O(log n). 

3. Untuk kompleksitas waktu kedua algoritma memiliki kompleksitas sebesar O(log n), tetapi binary search iteratif cenderung memiliki faktor konstan yang lebih rendah.

4. Non iteratif menghasilkan waktu eksekusi lebih lama dan penggunaan memori yang lebih besar dibandingkan dengan Iteratif",70,70
53,Jelaskan perbedaan antara iterative searching dan non iterative searching,Perbedaan antara iterative seraching dan non iterative searching,5,10
54,Jelaskan perbedaan antara iterative searching dan non iterative searching,"iterative search :

Biasa digunakan untuk percarian masalah yang bukan berupa path

1.Hill-climbing search
2.Simulated annealing

pengembangan dari A*search algorithm yang dikombinasikan dengan iterative  search. search algorithm merupakan best-first searches yang optimal dalam hal solution cost, time, dan space. Prinsip algoritma iterative deepening search adalah melakukan depth-limited search secara bertahap dengan nilai l yang incremental",65,10
55,Jelaskan perbedaan antara iterative searching dan non iterative searching,"Non Iteratif searching adalah suatu proses atau prosedur dari fungsi yang memanggil dirinya sendiri secara berulang-ulang. Karena proses dalam Rekursif ini terjadi secara berulang-ulang maka harus ada kondisi yang membatasi pengulangan persebut, jika tidak maka proses tidak akan pernah berhenti sampai memori yang digunakan untuk menampung proses tersebut tidak dapat menampung lagi (Penuh)

Berbeda dengan Non Iteratif searching, Fungi Iteratif merupakan perulangan yang melakukan proses perulangan terhadap sekelompok intruksi. Perulangan dilakukan dalam batasan syarat tertentu. Ketika syarat tersebut tidak terpenuhi lagi maka perulangan akan terhenti.

Dalam prosesnya, rekursif (Non Iteratif searching) memanggil dirinya sendiri sedangkan iteratif hanya mengulang berdasarkan kondisi tertentu.

_FUNGSI ITERATIF LEBIH EFISIEN DARIPADA FUNGSI REKURSIF. FUNGSI ITERATIF MEMILIKI KOMPLEKSITAS RUANG SEBESAR O(1), SEDANGKAN FUNGSI REKURSIF DAPAT MENCAPAI SEBESAR O(LOG N). UNTUK KOMPLEKSITAS WAKTU KEDUA ALGORITMA FUNGSI MEMILIKI KOMPLEKSITAS SEBESAR O(LOG N), NAMUN FUNGSI ITERATIF CENDERUNG MEMILIKI FAKTOR KONSTAN YANG LEBIH RENDAH. FUNGSI REKURSIF MENGHASILKAN WAKTU EKSEKUSI LEBIH LAMA DAN PENGGUNAAN MEMORI YANG LEBIH BESAR JIKA DIBANDINGKAN DENGAN FUNGSI ITERATIF YANG MENGHASILKAN WAKTU EKSEKUSI DAN PENGGUNAAN MEMORI YANG LEBIH KECIL._",80,70
56,Jelaskan perbedaan antara iterative searching dan non iterative searching,"Iteratif Searching biasa digunakan untuk pencarian masalah yang bukan path

Sedangkan non Iteratif bisa digunakan untuk mencari masalah berupa path",90,90
57,Jelaskan perbedaan antara iterative searching dan non iterative searching,"Iterative

 Digunakan untuk mencari masalah bukan berupa path. Solusinya bukan berupa path dari initial state ke goal state tpi berupa kondisi yang diberikan ke goal state

 

Non iterative

Biasanya dengan initial state lalu dengan successor sampai dengan goal state. Solusi yang diberikan path dari initial state ke goal state. Lalu dilakukan back tracking dan ditemukan solusi permasalahan",90,95
58,Jelaskan perbedaan antara iterative searching dan non iterative searching,"Perbedaan utama dari iterative searching dan non iterative seacrhing (rekursif) ada dalam segi kompleksitas ruang nya. Contoh dalam Binary search, rekursif memeiliki kompleksitas O (log n), sedangkan iterative searching memiliki kompleksitas O(1). Maka dari itu iterative searching akan menjadi lebih efisien walaupun rekursif lebih mudah di implementasikan.",70,60
59,Jelaskan perbedaan antara iterative searching dan non iterative searching,"Iterative mencari sampai nilai n yang diberikan.

Non-iterative mencari nilai optimal dengan lebih sederhana untuk model soal sederhana",70,50
60,Jelaskan perbedaan antara iterative searching dan non iterative searching,Iterative Searching adalah algoritma yang berguna untuk mencari jalur yang bukan path sedangkan Non Iteratif searching adalah algoritma untuk instruksi perulangan yang tak terhingga.,60,80
61,Jelaskan perbedaan antara iterative searching dan non iterative searching,"Iteratif search mencari nilai optimal sampai dengan nilai n dan  biasanya digunakan untuk pencarian masalah yang bukan  berupa Path.

Non-iteratif search mencari dengan lebih sederhana untuk model yang lebih sederhana juga.",80,80
62,Jelaskan perbedaan antara iterative searching dan non iterative searching,"Perbedaan :

Iterative Search akan mencari nilai optimal sampai dengan nilai n.

Non-iterative Search akan mencari dengan lebih sederhana untuk model yang lebih sederhana juga.",70,60
63,Jelaskan perbedaan antara iterative searching dan non iterative searching,"Perbedaan antara intterative searching dengan non iterative searching adalah, iterative searching memakai perulangan dari 0 sampai n sedangkan non iterative searching menggunakan perulangan dari n sampai 0",40,40
