,pertanyaan,jawaban,skor
10,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya karena jika menggunakan uninformed search algorithm beberapa permasalahan dapat dipecahkan namun tidak semua algoritma dapat menyelesaikan permasalahan dengan efektif serta efisien sedangkan informed search yaitu algoritma yang menggunakan pengetahuan yang spesifik kepada permasalahan yang dihadapi selain dari definisi masalahnya itu sendiri,0.9
12,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search menjadi solusi yang terbaik karena melihat cost dari pemecahan permasalahan sedangkan uninformed search itu hanya terfokus kepada masalah itu terselesaikan tanpa melihat cost atau biayanya,0.82
13,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search mungkin secara umum lebih baik dibandingkan dengan uninformed search tetapi tidak selalu ada satu hal yang informed search yaitu menemukan solusi yang tepat karena informed search mengandalkan fungsi heuristik sehingga kadangkala untuk penemuan solusi yang lebih tepat maka uninformed search bisa diunggulkan,0.88
14,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,uninformed search sering disebut juga dengan blind search istilah tersebut menggambarkan bahwa teknik pencarian ini tidak memiliki informasi tambahan mengenai kondisi diluar dari yang disediakan oleh permasalahan informed search algorithm disebut juga dengan heuristic search pencarian dengan algoritma ini menggunakan pengetahuan yang spesifik kepada permasalahan yang dihadapi selain dari definisi masalahnya itu sendiri tergantung dari suatu permasalahan yang akan dicari sehingga keefisiensian keduanya relatif,0.9
15,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,tidak selalu karena jika suatu pencarian data yang dicari tidak diawal atau berada diposisi pertama uninformed search akan lebih baik dibanding informed search,0.88
16,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya karena metode uninformed search belum tentu bisa digunakan untuk mengatasi permasalahan dengan ruang masalah yang besar sedangkan metode informed search menggunakan fungsi heuristik untuk mengatasi kelemahan pada uninformed search,0.9
17,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya karena solusi yang diberikan pada informed search adalah solusi yang optimal sedangkan pada uninformed search tidak memberikan informasi tentang permasalahan yang ada hanya sebatas definisi dari algoritma tersebut yang belum tentu solusinya efisien dan optimal,0.85
18,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,iya karena uninformed search algoritma yang tidak memberikan informasi tentang permasalahan yang ada hanya sebatas definisi dari algoritma tersebut,0.8
19,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,algoritma uninformed search tidak memiliki informasi tambahan tentang keadaan atau ruang pencarian selain cara melintasi pohon sehingga tidak lebih baik dari informed search informed search memiliki informasi tambahan mengenai kondisi diluar dari yang disediakan oleh definisi masalah yang dilakukan oleh algoritma ini adalah melakukan generate dari successor dan membedakan goal state dari nongoal state pencarian dilakukan berdasarkan pada urutan mana saja node yang hendak diexpand,0.85
20,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search tidak selalu tetapi biasanya lebih baik daripada uninformed search karena informed search menggunakan fungsi heuristik untuk mengatasi kelemahan pada blind search uninformed search,0.95
21,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,tidak selalu lebih baik informed search lebih efisien terhadap waktu tetapi tidak lebih efisien terhadap space complexity,0.85
22,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search tidak selalu lebih baik dibandingkan uninformed search jika dinilai dari memory and space kompleksitas,0.85
23,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya lebih baik karena pada uninformed search sering disebut juga dengan blind search istilah tersebut menggambarkan bahwa teknik pencarian ini tidak memiliki informasi tambahan mengenai kondisi diluar dari yang disediakan oleh definisi masalah yang dilakukan oleh algoritma ini adalah melakukan generate dari successor dan membedakan goal state dari nongoal state pencarian dilakukan berdasarkan pada urutan mana saja node yang hendak diexpand sedangkan pada informed search sering disebut juga dengan heuristic search pencarian dengan algoritma ini menggunakan knowledge yang spesifik kepada permasalahan yang dihadapi disamping dari definisi masalahnya itu sendiri metode ini mampu menemukan solusi secara lebih efisien daripada yang bisa dilakukan pada metode uninformed strategy,0.9
24,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search selalu lebih baik dibandingkan uninformed search karena informed search banyak permasalahan yang dapat diselesaikan dengan metode ini sedangkan uninformed search tidak bisa menyelesaikan permasalahan uninformed search hanya sebatas mendefinisikan alogoritma permasalahan tersebut informed mempertimbangkan nilai heuristik sehingga costnya bisa minimal tapi kelemahannya membutuhkan waktu lebih lama,0.78
25,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,iya karena dalam informed search dalam menelusuri node nodenya kita sudah diberikan semacam spoiler atau bocoran berupa informasi yang memungkinkan kita menemukan goal state lebih cepat dan tepat daripada algoritma yang secara membabi buta mencari nodenya,0.88
26,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search biasanya memang lebih baik daripada uninformed search tetapi tidak selalu lebih baik informed search dikatakan lebih baik karena menggunakan fungsi heuristik untuk mengatasi kelemahan pada blind search uninformed search,0.95
27,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search lebih baik dibandingkan uninformed search karena uninformed search tidak bisa digunakan untuk permasalahan dengan ruang masalah yang besar informed search menggunakan fungsi heuristik untuk mengatasi kelemahan dari uninformed search,0.88
28,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,tidak selalu baik hal ini dikarenakan informed search akan selalu memeberikan arah yang dapat dituju sedangkan uninformed tidak namun strategi uninformed lebih baik dari pada informed,0.85
29,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,tidak bisa saja uninformed search yang lebih baik asalkan jumlah root yang ada tidak banyak maka pencarian bisa lebih sederhana,0.9
30,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,iya karena dalam informed searching memiliki kinerja untuk mengeksploitasi semua informasiinformasi yang dapat mendukung bahwa satu node lebih menjanjikan dari pada node lainnya sedangkan untuk uninformed searching hanya menggunakan informasi berdasarkan problem yang didefinisikan,0.85
32,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,uninformed search algoritma yang tidak memberikan informasi tentang permasalahan yang ada hanya sebatas definisi dari algoritma tersebut uninformed search sering disebut juga dengan blind search istilah tersebut menggambarkan bahwa teknik pencarian ini tidak memiliki informasi tambahan mengenai kondisi diluar dari yang disediakan oleh definisi masalah yang dilakukan oleh algoritma ini adalah melakukan generate dari successor dan membedakan goal state dari nongoal state pencarian dilakukan berdasarkan pada urutan mana saja node yang hendak diexpand informed search walaupun dengan menggunakan uninformed search algorithm banyak permasalahan dapat dipecahkan namun tidak semuanya dari algoritma tersebut dapat menyelesaikan masalah dengan efisien informed search sering disebut juga dengan heuristic search pencarian dengan algoritma ini menggunakan knowledge yang spesifik kepada permasalahan yang dihadapi disamping dari definisi masalahnya itu sendiri metode ini mampu menemukan solusi secara lebih efisien daripada yang bisa dilakukan pada metode uninformed strategy,0.9
33,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,betul karena informed search lebih baik karena menggunakan heuristic yang lebih spesifik dibandingkan uniformed search dalam menyelesaikan persoalan masalah,0.85
34,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,tidak informed search menemukan solusi lebih cepat namun dapat tidak complete uninformed search akan menemukan solusi yang complete namun lebih lambat dibanding informed search,0.85
36,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,uninformed search akan membangkitkan simpul berikutnya hanya berdasarkan urutanurutan tertentu sehingga dalam penerapannya akan memiliki kekurangan jika digunakan pada masalah dengan ruang lingkup besar informed search akan mengatasi kekurangan ini dengan menggunakan fungsi heuristik sehingga informed search lebih baik dari uninformed search,0.82
37,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,iya karena informed search memiliki kinerja untuk mengeksekusi semua informasi yang dapat mendukung bahwa satu node lebih menjanjikan daripada node lainnya sedangkan untuk uninformed searching hanya menggunakan informasi berdasarkan problem yang didefinisikan,0.82
38,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,uninformed search algoritma ini tidak memberikan informasi tentang permasalahan yg ada melainkan hanya sebatas definisi dari algoritma dan tidak memiliki informasi tambahan yang dihadapinya informed search algoritma ini menggunakan solusi yang lebih spesifik terhadap permasalahan yang dihadapinya serta melakukan generate dari successor dan membedakan state dari non goal state maka algoritma yang lebih baik adalah algoritma informed search,0.82
39,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya dikarenakan dengan menggunakan uninformed search algorithm beberapa permasalahan dapat dipecahkan tetapi tidak semua algoritma dapat menyelesaikan permasalah dengan efektif dan efisien sedangkan informed search adalah algoritma yang menggunakan pengetahuan spesifik terhadap permasalahan yang dihadapi selain dari definisi masalah soal nya sendiri metode ini lebih baik daripada metode uninformed,0.82
40,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search algoritma ini tidak memberikan informasi tentang problem yang ada namun cuman sebatas definisi dari algoritma dan tidak memiliki informasi tambahan yang dihadapi informed search juga menggunakan solusi yang lebih spesifik terhadap permasalahan yang dihapadinya serta melakukan generate dari successor dan membedakan state dari non goal state jadi algoritma yang lebih baik adalah yang informed search,0.82
41,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search lebih baik karena menggunakan fungsi heuristik untuk mengatasi kelemahan pada uninformed search,0.8
42,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,metode informed search lebih baik daripada uninformed secarh karena informed search merupakan pencarian yang algoritmanya menggunakan knowledge yang spesifik kepada permasalahan yang dihadapi tidak seperti uninformed search yanh tidak memiliki informasi tambahan mengenai kondisi di luar dari yang disediakan oleh definisi masalah,0.82
43,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,iya informed search merupakan pencarian yang algoritmanya menggunakan knowledge yang spesifik kepada permasalahan yang dihadapi metode ini lebih baik daripada uninformed search karena pada uninformed search tidak memiliki informasi tambahan mengenai kondisi di luar dari yang disediakan oleh definisi masalah banyak permasalahan yang dapat dipecahkan menggunakan uninformed search tetapi tidak semuanya dapat menyelesaikan masalah dengan efisien,0.88
44,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya informed search bisa dikatakan selalu lebih baik dibandingkan uninformed search karena informed search memiliki kinerja yang lebih baik dalam mengeksekusi informasi yang dapat mendukung teori bahwa satu node lebih menjanjikan daripada node lainnya selain itu banyak permasalahan yang dapat diselesaikan dengan metode ini dan informed mempertimbangkan nilai heuristik sehingga costnya bisa minimal tapi kelemahannya membutuhkan waktu lebih lama sedangkan uninformed search tidak bisa menyelesaikan permasalahan uninformed search hanya sebatas mendefinisikan algoritma permasalahan tersebut,0.85
45,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search dapat lebih menghasilkan pencarian permasalahan secara efisien karena algoritma memiliki goal node yang dapat memperkirakan seberapa dekat dengan tujuan sedangkan uninformed search hanya sebatas mengenai definisi dari algoritma tanpa memberi tahu informasi mengenai permasalahan sehingga tidak efisien,0.88
46,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,uninformed search atau blind search tidak memberikan informasi tentang permasalahan yang ada dan pembangkitan simpulnya hanya berdasarkan urutan tertentu sehingga dalam penerapannya akan memiliki kekurangan jika digunakan pada masalah dengan ruang lingkup besar sedangkan informed searching menggunakan fungsi heuristik untuk mengatasi kelemahan blind search sehingga informed searching lebih baik daripada uninformed searching,0.88
47,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,iya informed search lebih baik karena lebih efisien dan memiliki kinerja seraching yang dapat mendukung bahwa satu node lebih menajnjikan daripada node lainnya uninformed searching hanya menggunakan informasi berdasarkan problem yg didefinisikan,0.88
48,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya hal ini karena informed search algorithm mampu menemukan solusi yang lebih efisien daripada uninformed search algorithm informed search ini menggunakan knowledge yang spesifik kepada permasalahan yang dihadapi disamping dari defisini masalahnya itu sendiri sedangkan uninformed search algorithm tidak memiliki informasi tambahan mengenai kondisi diluar dari yang disediakan oleh definisi masalah,0.9
49,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,iya informed search lebih baik karena uninformed search teknik pencariannya tidak memiliki informasi tambahan mengenai kondisi diluar dari yang disediakan oleh definisi masalah dan tidak semua dari algoritma tersebut dapat diselesaikan dengan efisien sedangkan pada informed dia menggunakan knowledge yang spesifik kepada permasalahan yang dihadapi disamping dari definisi masalahnya itu sendiri metode ini menemukan solusi secara lebih efisien,0.9
53,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,betul karena uniformed tidak memberikan informasi tentang permasalahan yang ada namun hanya sebatas definisi dari algoritma uniformed sendiri juga sering disebut dengan blind search ini dikarenakan algoritma ini hanya melakukan generate dari successor dan membedakan goal state dari non goal state pencarian dilakukan berdasarkan apda urutan mana asaja node yang hendak di expand sedangkan informed search bisa menyelesaikan banyak permasalahan karena algoritma ini menggunakan pengetahuan yang spesifik kepada permasalahan yang dihadapi selain dari definisi masala itu,0.82
54,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search cenderung lebih cepat dan efisien dibandingkan dengan uninformed search namun hal itu hanya berlaku di beberapa kasus khusus yang sudah diinformasikan hal ini dikarenakan uninformed search menggunakan metode blind search teknik pencarian ini tidak memiliki informasi tambahan mengenai kondisi diluar dari yang disediakan oleh definisi masalah yang dilakukan oleh algoritma ini adalah melakukan generate dari successor dan membedakan goal state dari nongoal state pencarian dilakukan berdasarkan pada urutan mana saja node yang hendak diexpand sehingga membuat uninformed search lebih fleksibel dan efisien di beberapa kasus,0.9
55,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya menurut saya informed search akan selalu lebih baik daripada uninformed searching karena informed searching adalah pencarian dengan informasi yang spesifik terhadap permasalahan yang dihadapi disamping dari definisi masalahnya itu sendiri tidak seperti uninformed searching yang tidak memiliki informasi terhadap permasalahan yang ada sehingga informed search ini dapat menemukan solusi secara lebih efisien daripada yang bisa dilakukan pada uninformed search,0.88
57,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informaed search merupakan pencarian dengan algoritma ini menggunakan knowledge yang spesifik kepada permasalahan yang dihadapi disamping dari definisi masalahnya itu sendiri metode ini mampu menemukan solusi secara lebih efisien daripada yang bisa dilakukan pada metode uninformed strategy uninformed search merupakan algoritma yang tidak memberikan informasi tentang permasalahan yang ada hanya sebatas definisi dari algoritma tersebut walaupun dengan menggunakan uninformed search banyak permasalahan dapat dipecahkan namun tidak semuanya dari algoritma tersebut dapat menyelesaikan masalah dengan efisien,0.9
59,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search dapat menyelesaikan banyak permasalahan sedangkan uninformed search tidak bisa menyelesaikan permaasalahan karena uninformed search hanya mendefinisikan alogoritma dari sebuah permasalahan jadi informed search selalu lebih baik dibandingkan dengan uninformed search,0.8
60,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya karena dalam informed search agent memiliki semua informasi yang dibutuhkan untuk mendapatkan solusi secara optimal dapat mereview apakah solusi optimal atau tidak uninformed search tidak memiliki informasi tersebut sehingga akan berhenti ketika mendapatkan solusi dan tidak akan berusaha mencari informasi optimal karena tidak memiliki informasi yang cukup untuk mengevaluasi solusi,0.82
61,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya informed search lebih unggu karena lebih efektif cepat tetapi tidak semuanya masalah yg dipecahkan menggunakan algoritma yang efisien,0.8
62,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,iya informed search selalu lebih baik dibandingkan uninformend search karena informed search dapat menyelesaikan banyak permasalahan dan sedangkan uninformed search tidak bisa menyelesaikan permasalahan uninformed search hanya sebatas mendefinisikan alogoritma menggunakan informasi dari permasalahan tersebut,0.78
63,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,iyaa karena pencarian dengan informed search menggunakan knowledge yang spesifik kepada permasalahan yang dihadapi disamping dari definisi masalahnya itu sendiri sedangkan pencarian uninformed search dengan tidak memiliki informasi tambahan mengenai kondisi diluar dari yang disediakan oleh definisi masalah,0.82
64,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search selalu lebih baik dibandingkan uninformed search karena menggunakan masalah pencarian rute terpendek dan menggunakan fungsi heuristik hn untuk menghitung biaya perkiraan estimation cost dari suatu node n ke node tujuan dibandingkan dengan uninformed search,0.82
65,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,ya tentunya informed search selalu lebih baik dibandingkan uninformed search karena informed search terdapat banyak permasalahan dapat diselesaikan sementara itu uninformed search tidak bisa menyelesaikan permasalahan yang ada uninformed search hanya sebatas mendefinisikan algoritma permasalahan tersebut,0.78
66,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,searching adalah mekanisme pemecahan masalah yang paling umum di dalam kecerdasan buatan di dalam permasalahanpermasalahan kecerdasan buatan urutan langkahlangkah yang dibutuhkan untuk memperoleh solusi merupakan suatu isu yang penting untuk diformulasikan hal ini harus dilakukan dengan mengidentifikasikan proses try and error secara sistematis pada eksplorasi setiap alternatif jalur yang ada algoritma searching di dalam kecerdasan buatan yang umumnya dikenal adalah uninformed search algorithm algoritma yang tidak memberikan informasi tentang permasalahan yang ada hanya sebatas definisi dari algoritma tersebut informed search algorithm walaupun dengan menggunakan uninformed search algorithm banyak permasalahan dapat dipecahkan namun tidak semuanya dari algoritma tersebut dapat menyelesaikan masalah dengan efisien uninformed search algorithm uninformed search sering disebut juga dengan blind search istilah tersebut menggambarkan bahwa teknik pencarian ini tidak memiliki informasi tambahan mengenai kondisi diluar dari yang disediakan oleh definisi masalah yang dilakukan oleh algoritma ini adalah melakukan generate dari successor dan membedakan goal state dari nongoal state pencarian dilakukan berdasarkan pada urutan mana saja node yang hendak diexpand,0.75
68,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search seringnya lebih baik dikarenakan informed search menggunakan fungsi heuristik untuk mengatasi kelemahan pada blind search uninformed search,0.8
70,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,dapat dikatakan bahwa informed search cenderung lebih baik daripada uninformed search karena pada uninformed search pembangkitan simpul hanya didasarkan pada urutan tertentu sehingga belum tentu dapat dilakukan pada permasalahan yang besar sedangkan pada informed search akan menggunakan fungsi heuristik sehingga dapat mengatasi kelemahan pada uninformed search,0.88
71,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search biasanya lebih baik karena informed search menggunakan fungsi heuristik untuk mengatasi kelemahan pada blind search uninformed search,0.8
72,jelaskan apakah informed search selalu lebih baik dibandingkan uninformed search uraikan alasan dan penjelasan anda secara detail,informed search dan informed search merupakan dua hal yang mirip dan memiliki fungsi dan keunggulannya masingmasing sehingga pada situasi tertentu hal satu dapat lebih menguntungkan dari yang lain dan sebaliknya,0.82
